,,,,f1,f1,auc_roc,auc_roc,disparate_impact,disparate_impact,statistical_parity_difference,statistical_parity_difference
,,,,mean,std,mean,std,mean,std,mean,std
scenario,mitigator,generator,model,,,,,,,,
S5,None,TVAE,SVM,0.5537,0.0539,0.8432,0.0236,0.2533,0.0877,-0.1747,0.0368
S5,None,TabDDPM,CatBoost,0.6129,0.0489,0.882,0.0215,0.2381,0.1083,-0.1901,0.0462
S5,None,TabDDPM,LogisticRegression,0.6354,0.0413,0.8712,0.0198,0.4063,0.1383,-0.1502,0.0423
S5,None,TabDDPM,SVM,0.5871,0.038,0.842,0.0189,0.3307,0.1133,-0.16,0.0354
S6,Reweighing,CTGAN,CatBoost,0.6191,0.0555,0.8775,0.0191,0.2801,0.0878,-0.1799,0.0369
S6,Reweighing,CTGAN,LogisticRegression,0.603,0.0525,0.843,0.0216,0.5137,0.0939,-0.1507,0.0241
S6,Reweighing,CTGAN,SVM,0.5908,0.0501,0.8214,0.0254,0.3982,0.0837,-0.17,0.0286
S6,Reweighing,GaussianCopula,CatBoost,0.6032,0.0486,0.8769,0.0221,0.214,0.0737,-0.1957,0.0416
S6,Reweighing,GaussianCopula,LogisticRegression,0.6035,0.0652,0.873,0.0212,0.2286,0.0881,-0.2005,0.033
S6,Reweighing,GaussianCopula,SVM,0.5624,0.0593,0.8316,0.0238,0.2503,0.0965,-0.1889,0.036
S6,Reweighing,TVAE,CatBoost,0.6134,0.0636,0.8731,0.024,0.2916,0.076,-0.1896,0.0367
S6,Reweighing,TVAE,LogisticRegression,0.6156,0.0561,0.8691,0.0158,0.3178,0.0714,-0.1813,0.0265
S6,Reweighing,TVAE,SVM,0.5506,0.0552,0.8436,0.0214,0.2494,0.0798,-0.1822,0.0379
S6,Reweighing,TabDDPM,CatBoost,0.6093,0.0524,0.8811,0.0202,0.2341,0.089,-0.1897,0.0409
S6,Reweighing,TabDDPM,LogisticRegression,0.6282,0.0473,0.868,0.0181,0.4291,0.1277,-0.1528,0.0416
S6,Reweighing,TabDDPM,SVM,0.5731,0.0531,0.8395,0.0196,0.3284,0.1195,-0.1645,0.0333
